Database Fundamentals,Computer Architecture,Distributed Computing Systems,Cyber Security,Networking,Software Development,Programming Skills,Project Management,Computer Forensics Fundamentals,Technical Communication,AI ML,Software Engineering,Business Analysis,Data Science,Troubleshooting skills,Graphics Designing,Openness,Conscientousness,Extraversion,Agreeableness,Neuroticism,Communication skills,Role
6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.714603305,0.480564217,0.470876568,0.039610646,0.086926736,4,Database Administrator
6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.617217845,0.452902935,0.377581437,0.090147592,0.071425106,4,Database Administrator
6,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.814072172,0.461667768,0.347738516,0.138574524,0.095260723,4,Database Administrator
6,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.607494963,0.521783185,0.403756266,0.114924704,0.122655795,4,Database Administrator
6,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.781292724,0.319538906,0.240337062,0.050987739,0.065563884,4,Database Administrator
6,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.700737597,0.319924947,0.246463415,0.041291977,0.046333164,4,Database Administrator
6,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.733724048,0.31385154,0.214351242,0.038801004,0.058287824,5,Database Administrator
6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.714603305,0.480564217,0.470876568,0.039610646,0.086926736,5,Database Administrator
6,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.617217845,0.452902935,0.377581437,0.090147592,0.071425106,5,Database Administrator
6,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.814072172,0.461667768,0.347738516,0.138574524,0.095260723,5,Database Administrator
6,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.607494963,0.521783185,0.403756266,0.114924704,0.122655795,5,Database Administrator
6,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.781292724,0.319538906,0.240337062,0.050987739,0.065563884,5,Database Administrator
6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.700737597,0.319924947,0.246463415,0.041291977,0.046333164,1,Database Administrator
6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.733724048,0.31385154,0.214351242,0.038801004,0.058287824,1,Database Administrator
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.714603305,0.480564217,0.470876568,0.039610646,0.086926736,1,Database Administrator
6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.617217845,0.452902935,0.377581437,0.090147592,0.071425106,1,Database Administrator
6,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.814072172,0.461667768,0.347738516,0.138574524,0.095260723,1,Database Administrator
6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.607494963,0.521783185,0.403756266,0.114924704,0.122655795,1,Database Administrator
6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.781292724,0.319538906,0.240337062,0.050987739,0.065563884,0,Database Administrator
6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700737597,0.319924947,0.246463415,0.041291977,0.046333164,0,Database Administrator
